Name,Team,AVG,OBP,SLG,OPS,BABIP,wRC+,xBA,wOBA,xwOBA,ERA,ERA-,FIP,xFIP,FIP-,xFIP-,WHIP,SIERA
Gary Sanchez,- - -,0.217,0.288,0.492,0.78,0.212,111.0,0.23,0.329,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gavin Hollowell,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,117.0,6.58,5.6,142.0,128.0,1.46,4.77
Gavin Sheets,CHW,0.203,0.267,0.331,0.599,0.222,61.0,0.208,0.261,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gavin Stone,LAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,211.0,6.64,5.15,150.0,118.0,1.9,5.08
Gavin Williams,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,79.0,4.05,4.53,96.0,106.0,1.26,4.61
Genesis Cabrera,- - -,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,95.0,4.44,4.56,103.0,105.0,1.31,4.08
Geoff Hartlieb,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,51.0,7.26,6.49,168.0,148.0,1.25,6.3
George Kirby,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,82.0,3.34,3.63,80.0,85.0,1.04,3.71
George Soriano,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,87.0,4.37,4.68,101.0,107.0,1.33,4.24
George Springer,TOR,0.258,0.327,0.405,0.732,0.291,104.0,0.262,0.32,0.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geraldo Perdomo,ARI,0.246,0.353,0.359,0.712,0.295,99.0,0.201,0.319,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerardo Reyes,LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.45,171.0,6.36,5.89,145.0,138.0,1.76,4.85
German Marquez,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,98.0,4.61,3.49,100.0,80.0,1.1,3.86
Gerrit Cole,NYY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,63.0,3.16,3.6,73.0,84.0,0.98,3.63
Giancarlo Stanton,NYY,0.191,0.275,0.42,0.695,0.21,89.0,0.219,0.297,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
